player,position,age,team,games,mins_played,pts,rebounds_defensive
Pat Connaughton,SG,33,CHO,26,207,13.9,5.6
Joan Beringer,PF,19,MIN,29,202,16.2,5
Lindy Waters III,SG,28,SAS,29,198,10.9,3.5
Garrison Mathews,SG,29,IND,15,196,14.3,2.8
Nigel Hayes-Davis,SF,31,PHO,27,195,6.3,3.9
DaRon Holmes,PF,23,DEN,17,186,13.9,4.5
JD Davison,PG,23,HOU,25,184,10.8,4.1
Zach Collins,C,28,CHI,10,184,19,7.8
Scoot Henderson,PG,21,POR,8,183,21.4,3.9
Andre Jackson Jr.,SG,24,MIL,28,177,8.1,3.1
Jordan McLaughlin,PG,29,SAS,28,175,11.5,3.3
Chris Youngblood,SG,23,OKC,32,174,13.4,4.3
Chaz Lanier,SG,24,DET,20,171,13.1,2.5
Marcus Sasser,PG,25,DET,18,170,20.1,3
Taurean Prince,SF,31,MIL,8,169,10.4,2.8
Ty Jerome,SG,28,MEM,8,168,33.6,3.4
Keshad Johnson,SF,24,MIA,23,164,16,5.9
Hunter Tyson,PF,25,DEN,21,162,10.2,7.1
Ron Harper Jr.,SF,25,BOS,14,160,10.4,3.4
Walker Kessler,C,24,UTA,5,154,16.8,7.2
Drew Timme,PF,25,LAL,18,150,15.1,3.6
Jonathan Mogbo,PF,24,TOR,23,139,7.8,6.5
Khaman Maluach,C,19,PHO,26,137,12.4,6.8
Jamal Cain,SF,26,ORL,20,137,13.4,2.4
Mason Plumlee,C,35,CHO,14,125,7.5,8.6
Lachlan Olbrich,C,22,CHI,18,124,7,7.5
Kevin McCullar Jr.,SF,24,NYK,16,123,10,4.4
Scotty Pippen Jr.,PG,25,MEM,6,123,18.7,1.8
Bradley Beal,SG,32,LAC,6,121,14.6,0.9
Doug McDermott,SF,34,SAC,12,116,16.1,2.5
Dereck Lively II,C,21,DAL,7,115,9.4,7.2
Amari Williams,PF,24,BOS,15,113,7,7.3
A.J. Lawson,SG,25,TOR,13,109,16.2,5.3
Elijah Harkless,SG,25,UTA,10,108,10,3
Miles Kelly,PG,23,DAL,13,103,11.9,5.2
Luke Travers,SG,24,CLE,12,103,9.8,5.2
Alondes Williams,SG,26,WAS,4,101,15.7,7.1
